CarName,wheelbase,curbweight,cylindernumber,horsepower,citympg,highwaympg,price,fueltype_gas,drivewheel_rwd,drivewheel_fwd,enginelocation_front,carbody_convertible,carbody_hatchback,carbody_sedan,carbody_wagon
alfa-romeo,88.6,2548,4,111,21,27,13495.0,1,1,0,1,1,0,0,0
alfa-romeo,88.6,2548,4,111,21,27,16500.0,1,1,0,1,1,0,0,0
alfa-romeo,94.5,2823,6,154,19,26,16500.0,1,1,0,1,0,1,0,0
audi,99.8,2337,4,102,24,30,13950.0,1,0,1,1,0,0,1,0
audi,99.4,2824,5,115,18,22,17450.0,1,0,0,1,0,0,1,0
audi,99.8,2507,5,110,19,25,15250.0,1,0,1,1,0,0,1,0
audi,105.8,2844,5,110,19,25,17710.0,1,0,1,1,0,0,1,0
audi,105.8,2954,5,110,19,25,18920.0,1,0,1,1,0,0,0,1
audi,105.8,3086,5,140,17,20,23875.0,1,0,1,1,0,0,1,0
audi,99.5,3053,5,160,16,22,17859.167,1,0,0,1,0,1,0,0
bmw,101.2,2395,4,101,23,29,16430.0,1,1,0,1,0,0,1,0
bmw,101.2,2395,4,101,23,29,16925.0,1,1,0,1,0,0,1,0
bmw,101.2,2710,6,121,21,28,20970.0,1,1,0,1,0,0,1,0
bmw,101.2,2765,6,121,21,28,21105.0,1,1,0,1,0,0,1,0
bmw,103.5,3055,6,121,20,25,24565.0,1,1,0,1,0,0,1,0
bmw,103.5,3230,6,182,16,22,30760.0,1,1,0,1,0,0,1,0
bmw,103.5,3380,6,182,16,22,41315.0,1,1,0,1,0,0,1,0
bmw,110.0,3505,6,182,15,20,36880.0,1,1,0,1,0,0,1,0
chevrolet,88.4,1488,3,48,47,53,5151.0,1,0,1,1,0,1,0,0
chevrolet,94.5,1874,4,70,38,43,6295.0,1,0,1,1,0,1,0,0
chevrolet,94.5,1909,4,70,38,43,6575.0,1,0,1,1,0,0,1,0
dodge,93.7,1876,4,68,37,41,5572.0,1,0,1,1,0,1,0,0
dodge,93.7,1876,4,68,31,38,6377.0,1,0,1,1,0,1,0,0
dodge,93.7,2128,4,102,24,30,7957.0,1,0,1,1,0,1,0,0
dodge,93.7,1967,4,68,31,38,6229.0,1,0,1,1,0,1,0,0
dodge,93.7,1989,4,68,31,38,6692.0,1,0,1,1,0,0,1,0
dodge,93.7,1989,4,68,31,38,7609.0,1,0,1,1,0,0,1,0
dodge,93.7,2191,4,102,24,30,8558.0,1,0,1,1,0,0,1,0
dodge,103.3,2535,4,88,24,30,8921.0,1,0,1,1,0,0,0,1
dodge,95.9,2811,4,145,19,24,12964.0,1,0,1,1,0,1,0,0
honda,86.6,1713,4,58,49,54,6479.0,1,0,1,1,0,1,0,0
honda,86.6,1819,4,76,31,38,6855.0,1,0,1,1,0,1,0,0
honda,93.7,1837,4,60,38,42,5399.0,1,0,1,1,0,1,0,0
honda,93.7,1940,4,76,30,34,6529.0,1,0,1,1,0,1,0,0
honda,93.7,1956,4,76,30,34,7129.0,1,0,1,1,0,1,0,0
honda,96.5,2010,4,76,30,34,7295.0,1,0,1,1,0,0,1,0
honda,96.5,2024,4,76,30,34,7295.0,1,0,1,1,0,0,0,1
honda,96.5,2236,4,86,27,33,7895.0,1,0,1,1,0,1,0,0
honda,96.5,2289,4,86,27,33,9095.0,1,0,1,1,0,1,0,0
honda,96.5,2304,4,86,27,33,8845.0,1,0,1,1,0,0,1,0
honda,96.5,2372,4,86,27,33,10295.0,1,0,1,1,0,0,1,0
honda,96.5,2465,4,101,24,28,12945.0,1,0,1,1,0,0,1,0
honda,96.5,2293,4,100,25,31,10345.0,1,0,1,1,0,0,1,0
isuzu,94.3,2337,4,78,24,29,6785.0,1,1,0,1,0,0,1,0
isuzu,94.5,1874,4,70,38,43,8916.5,1,0,1,1,0,0,1,0
isuzu,94.5,1909,4,70,38,43,8916.5,1,0,1,1,0,0,1,0
isuzu,96.0,2734,4,90,24,29,11048.0,1,1,0,1,0,1,0,0
jaguar,113.0,4066,6,176,15,19,32250.0,1,1,0,1,0,0,1,0
jaguar,113.0,4066,6,176,15,19,35550.0,1,1,0,1,0,0,1,0
jaguar,102.0,3950,12,262,13,17,36000.0,1,1,0,1,0,0,1,0
mazda,93.1,1890,4,68,30,31,5195.0,1,0,1,1,0,1,0,0
mazda,93.1,1900,4,68,31,38,6095.0,1,0,1,1,0,1,0,0
mazda,93.1,1905,4,68,31,38,6795.0,1,0,1,1,0,1,0,0
mazda,93.1,1945,4,68,31,38,6695.0,1,0,1,1,0,0,1,0
mazda,93.1,1950,4,68,31,38,7395.0,1,0,1,1,0,0,1,0
mazda,95.3,2380,2,101,17,23,10945.0,1,1,0,1,0,1,0,0
mazda,95.3,2380,2,101,17,23,11845.0,1,1,0,1,0,1,0,0
mazda,95.3,2385,2,101,17,23,13645.0,1,1,0,1,0,1,0,0
mazda,95.3,2500,2,135,16,23,15645.0,1,1,0,1,0,1,0,0
mazda,98.8,2385,4,84,26,32,8845.0,1,0,1,1,0,1,0,0
mazda,98.8,2410,4,84,26,32,8495.0,1,0,1,1,0,0,1,0
mazda,98.8,2385,4,84,26,32,10595.0,1,0,1,1,0,1,0,0
mazda,98.8,2410,4,84,26,32,10245.0,1,0,1,1,0,0,1,0
mazda,98.8,2443,4,64,36,42,10795.0,0,0,1,1,0,0,1,0
mazda,98.8,2425,4,84,26,32,11245.0,1,0,1,1,0,1,0,0
mazda,104.9,2670,4,120,19,27,18280.0,1,1,0,1,0,0,1,0
mazda,104.9,2700,4,72,31,39,18344.0,0,1,0,1,0,0,1,0
buick,110.0,3515,5,123,22,25,25552.0,0,1,0,1,0,0,1,0
buick,110.0,3750,5,123,22,25,28248.0,0,1,0,1,0,0,0,1
buick,106.7,3495,5,123,22,25,28176.0,0,1,0,1,0,0,0,0
buick,115.6,3770,5,123,22,25,31600.0,0,1,0,1,0,0,1,0
buick,115.6,3740,8,155,16,18,34184.0,1,1,0,1,0,0,1,0
buick,96.6,3685,8,155,16,18,35056.0,1,1,0,1,1,0,0,0
buick,120.9,3900,8,184,14,16,40960.0,1,1,0,1,0,0,1,0
buick,112.0,3715,8,184,14,16,45400.0,1,1,0,1,0,0,0,0
mercury,102.7,2910,4,175,19,24,16503.0,1,1,0,1,0,1,0,0
mitsubishi,93.7,1918,4,68,37,41,5389.0,1,0,1,1,0,1,0,0
mitsubishi,93.7,1944,4,68,31,38,6189.0,1,0,1,1,0,1,0,0
mitsubishi,93.7,2004,4,68,31,38,6669.0,1,0,1,1,0,1,0,0
mitsubishi,93.0,2145,4,102,24,30,7689.0,1,0,1,1,0,1,0,0
mitsubishi,96.3,2370,4,116,23,30,9959.0,1,0,1,1,0,1,0,0
mitsubishi,96.3,2328,4,88,25,32,8499.0,1,0,1,1,0,1,0,0
mitsubishi,95.9,2833,4,145,19,24,12629.0,1,0,1,1,0,1,0,0
mitsubishi,95.9,2921,4,145,19,24,14869.0,1,0,1,1,0,1,0,0
mitsubishi,95.9,2926,4,145,19,24,14489.0,1,0,1,1,0,1,0,0
mitsubishi,96.3,2365,4,88,25,32,6989.0,1,0,1,1,0,0,1,0
mitsubishi,96.3,2405,4,88,25,32,8189.0,1,0,1,1,0,0,1,0
mitsubishi,96.3,2403,4,116,23,30,9279.0,1,0,1,1,0,0,1,0
mitsubishi,96.3,2403,4,116,23,30,9279.0,1,0,1,1,0,0,1,0
nissan,94.5,1889,4,69,31,37,5499.0,1,0,1,1,0,0,1,0
nissan,94.5,2017,4,55,45,50,7099.0,0,0,1,1,0,0,1,0
nissan,94.5,1918,4,69,31,37,6649.0,1,0,1,1,0,0,1,0
nissan,94.5,1938,4,69,31,37,6849.0,1,0,1,1,0,0,1,0
nissan,94.5,2024,4,69,31,37,7349.0,1,0,1,1,0,0,0,1
nissan,94.5,1951,4,69,31,37,7299.0,1,0,1,1,0,0,1,0
nissan,94.5,2028,4,69,31,37,7799.0,1,0,1,1,0,1,0,0
nissan,94.5,1971,4,69,31,37,7499.0,1,0,1,1,0,0,1,0
nissan,94.5,2037,4,69,31,37,7999.0,1,0,1,1,0,0,0,1
nissan,95.1,2008,4,69,31,37,8249.0,1,0,1,1,0,0,0,0
nissan,97.2,2324,4,97,27,34,8949.0,1,0,1,1,0,1,0,0
nissan,97.2,2302,4,97,27,34,9549.0,1,0,1,1,0,0,1,0
nissan,100.4,3095,6,152,17,22,13499.0,1,0,1,1,0,0,1,0
nissan,100.4,3296,6,152,17,22,14399.0,1,0,1,1,0,0,0,1
nissan,100.4,3060,6,152,19,25,13499.0,1,0,1,1,0,0,1,0
nissan,91.3,3071,6,160,19,25,17199.0,1,1,0,1,0,1,0,0
nissan,91.3,3139,6,200,17,23,19699.0,1,1,0,1,0,1,0,0
nissan,99.2,3139,6,160,19,25,18399.0,1,1,0,1,0,1,0,0
peugeot,107.9,3020,4,97,19,24,11900.0,1,1,0,1,0,0,1,0
peugeot,107.9,3197,4,95,28,33,13200.0,0,1,0,1,0,0,1,0
peugeot,114.2,3230,4,97,19,24,12440.0,1,1,0,1,0,0,0,1
peugeot,114.2,3430,4,95,25,25,13860.0,0,1,0,1,0,0,0,1
peugeot,107.9,3075,4,95,19,24,15580.0,1,1,0,1,0,0,1,0
peugeot,107.9,3252,4,95,28,33,16900.0,0,1,0,1,0,0,1,0
peugeot,114.2,3285,4,95,19,24,16695.0,1,1,0,1,0,0,0,1
peugeot,114.2,3485,4,95,25,25,17075.0,0,1,0,1,0,0,0,1
peugeot,107.9,3075,4,97,19,24,16630.0,1,1,0,1,0,0,1,0
peugeot,107.9,3252,4,95,28,33,17950.0,0,1,0,1,0,0,1,0
peugeot,108.0,3130,4,142,18,24,18150.0,1,1,0,1,0,0,1,0
plymouth,93.7,1918,4,68,37,41,5572.0,1,0,1,1,0,1,0,0
plymouth,93.7,2128,4,102,24,30,7957.0,1,0,1,1,0,1,0,0
plymouth,93.7,1967,4,68,31,38,6229.0,1,0,1,1,0,1,0,0
plymouth,93.7,1989,4,68,31,38,6692.0,1,0,1,1,0,0,1,0
plymouth,93.7,2191,4,68,31,38,7609.0,1,0,1,1,0,0,1,0
plymouth,103.3,2535,4,88,24,30,8921.0,1,0,1,1,0,0,0,1
plymouth,95.9,2818,4,145,19,24,12764.0,1,1,0,1,0,1,0,0
porsche,94.5,2778,4,143,19,27,22018.0,1,1,0,1,0,1,0,0
porsche,89.5,2756,6,207,17,25,32528.0,1,1,0,0,0,0,0,0
porsche,89.5,2756,6,207,17,25,34028.0,1,1,0,0,0,0,0,0
porsche,89.5,2800,6,207,17,25,37028.0,1,1,0,0,1,0,0,0
porsche,98.4,3366,8,288,17,28,31400.5,1,1,0,1,0,1,0,0
renault,96.1,2579,4,90,23,31,9295.0,1,0,1,1,0,0,0,1
renault,96.1,2460,4,90,23,31,9895.0,1,0,1,1,0,1,0,0
saab,99.1,2658,4,110,21,28,11850.0,1,0,1,1,0,1,0,0
saab,99.1,2695,4,110,21,28,12170.0,1,0,1,1,0,0,1,0
saab,99.1,2707,4,110,21,28,15040.0,1,0,1,1,0,1,0,0
saab,99.1,2758,4,110,21,28,15510.0,1,0,1,1,0,0,1,0
saab,99.1,2808,4,160,19,26,18150.0,1,0,1,1,0,1,0,0
saab,99.1,2847,4,160,19,26,18620.0,1,0,1,1,0,0,1,0
subaru,93.7,2050,4,69,31,36,5118.0,1,0,1,1,0,1,0,0
subaru,93.7,2120,4,73,26,31,7053.0,1,0,1,1,0,1,0,0
subaru,93.3,2240,4,73,26,31,7603.0,1,0,0,1,0,1,0,0
subaru,97.2,2145,4,82,32,37,7126.0,1,0,1,1,0,0,1,0
subaru,97.2,2190,4,82,28,33,7775.0,1,0,1,1,0,0,1,0
subaru,97.2,2340,4,94,26,32,9960.0,1,0,1,1,0,0,1,0
subaru,97.0,2385,4,82,24,25,9233.0,1,0,0,1,0,0,1,0
subaru,97.0,2510,4,111,24,29,11259.0,1,0,0,1,0,0,1,0
subaru,97.0,2290,4,82,28,32,7463.0,1,0,1,1,0,0,0,1
subaru,97.0,2455,4,94,25,31,10198.0,1,0,1,1,0,0,0,1
subaru,96.9,2420,4,82,23,29,8013.0,1,0,0,1,0,0,0,1
subaru,96.9,2650,4,111,23,23,11694.0,1,0,0,1,0,0,0,1
toyota,95.7,1985,4,62,35,39,5348.0,1,0,1,1,0,1,0,0
toyota,95.7,2040,4,62,31,38,6338.0,1,0,1,1,0,1,0,0
toyota,95.7,2015,4,62,31,38,6488.0,1,0,1,1,0,1,0,0
toyota,95.7,2280,4,62,31,37,6918.0,1,0,1,1,0,0,0,1
toyota,95.7,2290,4,62,27,32,7898.0,1,0,0,1,0,0,0,1
toyota,95.7,3110,4,62,27,32,8778.0,1,0,0,1,0,0,0,1
toyota,95.7,2081,4,70,30,37,6938.0,1,0,1,1,0,0,1,0
toyota,95.7,2109,4,70,30,37,7198.0,1,0,1,1,0,1,0,0
toyota,95.7,2275,4,56,34,36,7898.0,0,0,1,1,0,0,1,0
toyota,95.7,2275,4,56,38,47,7788.0,0,0,1,1,0,1,0,0
toyota,95.7,2094,4,70,38,47,7738.0,1,0,1,1,0,0,1,0
toyota,95.7,2122,4,70,28,34,8358.0,1,0,1,1,0,1,0,0
toyota,95.7,2140,4,70,28,34,9258.0,1,0,1,1,0,0,1,0
toyota,94.5,2169,4,70,29,34,8058.0,1,1,0,1,0,0,1,0
toyota,94.5,2204,4,70,29,34,8238.0,1,1,0,1,0,1,0,0
toyota,94.5,2265,4,112,26,29,9298.0,1,1,0,1,0,0,1,0
toyota,94.5,2300,4,112,26,29,9538.0,1,1,0,1,0,1,0,0
toyota,98.4,2540,4,116,24,30,8449.0,1,1,0,1,0,0,0,0
toyota,98.4,2536,4,116,24,30,9639.0,1,1,0,1,0,0,0,0
toyota,98.4,2551,4,116,24,30,9989.0,1,1,0,1,0,1,0,0
toyota,98.4,2679,4,116,24,30,11199.0,1,1,0,1,0,0,0,0
toyota,98.4,2714,4,116,24,30,11549.0,1,1,0,1,0,1,0,0
toyota,98.4,2975,4,116,24,30,17669.0,1,1,0,1,1,0,0,0
toyota,102.4,2326,4,92,29,34,8948.0,1,0,1,1,0,0,1,0
toyota,102.4,2480,4,73,30,33,10698.0,0,0,1,1,0,0,1,0
toyota,102.4,2414,4,92,27,32,9988.0,1,0,1,1,0,1,0,0
toyota,102.4,2414,4,92,27,32,10898.0,1,0,1,1,0,0,1,0
toyota,102.4,2458,4,92,27,32,11248.0,1,0,1,1,0,1,0,0
toyota,102.9,2976,6,161,20,24,16558.0,1,1,0,1,0,1,0,0
toyota,102.9,3016,6,161,19,24,15998.0,1,1,0,1,0,1,0,0
toyota,104.5,3131,6,156,20,24,15690.0,1,1,0,1,0,0,1,0
toyota,104.5,3151,6,156,19,24,15750.0,1,1,0,1,0,0,0,1
volkswagen,97.3,2261,4,52,37,46,7775.0,0,0,1,1,0,0,1,0
volkswagen,97.3,2209,4,85,27,34,7975.0,1,0,1,1,0,0,1,0
volkswagen,97.3,2264,4,52,37,46,7995.0,0,0,1,1,0,0,1,0
volkswagen,97.3,2212,4,85,27,34,8195.0,1,0,1,1,0,0,1,0
volkswagen,97.3,2275,4,85,27,34,8495.0,1,0,1,1,0,0,1,0
volkswagen,97.3,2319,4,68,37,42,9495.0,0,0,1,1,0,0,1,0
volkswagen,97.3,2300,4,100,26,32,9995.0,1,0,1,1,0,0,1,0
volkswagen,94.5,2254,4,90,24,29,11595.0,1,0,1,1,1,0,0,0
volkswagen,94.5,2221,4,90,24,29,9980.0,1,0,1,1,0,1,0,0
volkswagen,100.4,2661,5,110,19,24,13295.0,1,0,1,1,0,0,1,0
volkswagen,100.4,2579,4,68,33,38,13845.0,0,0,1,1,0,0,1,0
volkswagen,100.4,2563,4,88,25,31,12290.0,1,0,1,1,0,0,0,1
volvo,104.3,2912,4,114,23,28,12940.0,1,1,0,1,0,0,1,0
volvo,104.3,3034,4,114,23,28,13415.0,1,1,0,1,0,0,0,1
volvo,104.3,2935,4,114,24,28,15985.0,1,1,0,1,0,0,1,0
volvo,104.3,3042,4,114,24,28,16515.0,1,1,0,1,0,0,0,1
volvo,104.3,3045,4,162,17,22,18420.0,1,1,0,1,0,0,1,0
volvo,104.3,3157,4,162,17,22,18950.0,1,1,0,1,0,0,0,1
volvo,109.1,2952,4,114,23,28,16845.0,1,1,0,1,0,0,1,0
volvo,109.1,3049,4,160,19,25,19045.0,1,1,0,1,0,0,1,0
volvo,109.1,3012,6,134,18,23,21485.0,1,1,0,1,0,0,1,0
volvo,109.1,3217,6,106,26,27,22470.0,0,1,0,1,0,0,1,0
volvo,109.1,3062,4,114,19,25,22625.0,1,1,0,1,0,0,1,0
